cycle,pc,instruction,rd,rs1,rs2,result
4,0x0000,ADDI,a0,x0,-,"5"
5,0x0004,ADDI,a1,a0,-,"8"
6,0x0008,ADD,a2,a0,a1,"13"
7,0x000c,ADDI,a3,x0,-,"100"
8,0x0010,SW,-,x0,a3,"-"
9,0x0014,ADDI,a4,a3,-,"101"
10,0x0018,ADDI,a5,x0,-,"10"
11,0x001c,ADD,a6,a5,a5,"20"
12,0x0020,ADD,a7,a6,a5,"30"
13,0x0024,SUB,s2,a7,a6,"10"
14,0x0028,ADDI,s4,x0,-,"256"
15,0x002c,VLOAD,V1,s4,-,"[10, 20, 30, 40]"
17,0x0030,VADD,V2,V1,V1,"[20, 40, 60, 80]"
18,0x0030,VADD,V2,V1,V1,"[20, 40, 60, 80]"
19,0x0034,VMUL,V3,V2,V1,"[200, 800, 1800, 3200]"
20,0x0038,VREDMAX,s5,V3,-,"3200"
