cycle,pc,instruction,rd,rs1,rs2,result
4,0x0000,ADDI,a0,x0,-,"1"
5,0x0004,ADDI,a1,x0,-,"2"
6,0x0008,BEQ,-,a0,a0,"-"
7,0x000c,ADDI,a2,x0,-,"99"
9,0x0010,ADDI,a3,x0,-,"3"
10,0x0014,BNE,-,a0,a0,"-"
11,0x0018,ADDI,a4,x0,-,"4"
12,0x001c,ADDI,a5,x0,-,"5"
13,0x0020,JAL,s4,x0,-,"36"
14,0x0024,ADDI,a6,x0,-,"99"
16,0x0028,ADDI,a7,x0,-,"6"
17,0x002c,ADDI,s5,x0,-,"10"
18,0x0030,ADDI,s6,x0,-,"10"
19,0x0034,BEQ,-,s5,s6,"-"
20,0x0038,ADDI,s7,x0,-,"99"
22,0x003c,ADDI,s8,x0,-,"7"
23,0x0040,ADDI,s9,x0,-,"8"
24,0x0044,JALR,-,s4,-,"-"
25,0x0048,J,-,x0,-,"-"
