cycle,pc,instruction,rd,rs1,rs2,result
4,0x0000,ADDI,t0,x0,-,"3"
5,0x0004,ADDI,a0,x0,-,"1024"
6,0x0008,ADDI,a1,x0,-,"1280"
7,0x000c,VCLR,V0,x0,-,"[0, 0, 0, 0]"
8,0x0010,VLOAD,V1,a0,-,"[1, 2, 3, 4]"
9,0x0014,VLOAD,V2,a1,-,"[1, 1, 1, 1]"
11,0x0018,VMAC,V0,V1,V2,"[1, 2, 3, 4]"
12,0x0018,VMAC,V0,V1,V2,"[2, 4, 6, 8]"
13,0x001c,ADDI,a0,a0,-,"1040"
14,0x0020,ADDI,a1,a1,-,"1296"
15,0x0024,ADDI,t0,t0,-,"2"
16,0x0028,BNE,-,t0,x0,"-"
17,0x002c,ADDI,a2,x0,-,"1536"
19,0x0010,VLOAD,V1,a0,-,"[5, 6, 7, 8]"
20,0x0014,VLOAD,V2,a1,-,"[2, 2, 2, 2]"
22,0x0018,VMAC,V0,V1,V2,"[12, 16, 20, 24]"
23,0x0018,VMAC,V0,V1,V2,"[22, 28, 34, 40]"
24,0x001c,ADDI,a0,a0,-,"1056"
25,0x0020,ADDI,a1,a1,-,"1312"
26,0x0024,ADDI,t0,t0,-,"1"
27,0x0028,BNE,-,t0,x0,"-"
28,0x002c,ADDI,a2,x0,-,"1536"
30,0x0010,VLOAD,V1,a0,-,"[9, 10, 11, 12]"
31,0x0014,VLOAD,V2,a1,-,"[3, 3, 3, 3]"
33,0x0018,VMAC,V0,V1,V2,"[49, 58, 67, 76]"
34,0x0018,VMAC,V0,V1,V2,"[76, 88, 100, 112]"
35,0x001c,ADDI,a0,a0,-,"1072"
36,0x0020,ADDI,a1,a1,-,"1328"
37,0x0024,ADDI,t0,t0,-,"0"
38,0x0028,BNE,-,t0,x0,"-"
39,0x002c,ADDI,a2,x0,-,"1536"
