cycle,pc,instruction,rd,rs1,rs2,result
43,0x0064,VMAC,V7,V2,V1,"[2, 8, 12, 8]"
44,0x0068,VLOAD,V2,a1,-,"[1, 0, 0, 1]"
46,0x006c,VMAC,V7,V2,V1,"[3, 8, 12, 12]"
47,0x006c,VMAC,V7,V2,V1,"[4, 8, 12, 16]"
48,0x0070,VRELU,V0,t2,-,"[4, 8, 12, 16]"
49,0x0074,ADDI,a2,a2,-,"8976"
50,0x0078,ADDI,t0,t0,-,"2"
51,0x007c,BNE,-,t0,x0,"-"
52,0x0080,VSTORE,-,a3,V0,"stored"
54,0x0028,VLOAD,V1,a2,-,"[2, 3, 4, 5]"
55,0x002c,VCLR,V7,x0,-,"[0, 0, 0, 0]"
56,0x0030,VLOAD,V2,a0,-,"[1, 0, 0, 0]"
58,0x0034,VMAC,V7,V2,V0,"[4, 0, 0, 0]"
59,0x0034,VMAC,V7,V2,V0,"[8, 0, 0, 0]"
60,0x0038,VLOAD,V2,a0,-,"[0, 1, 0, 0]"
62,0x003c,VMAC,V7,V2,V0,"[8, 8, 0, 0]"
63,0x003c,VMAC,V7,V2,V0,"[8, 16, 0, 0]"
64,0x0040,VLOAD,V2,a0,-,"[0, 0, 1, 0]"
66,0x0044,VMAC,V7,V2,V0,"[8, 16, 12, 0]"
67,0x0044,VMAC,V7,V2,V0,"[8, 16, 24, 0]"
68,0x0048,VLOAD,V2,a0,-,"[0, 0, 0, 1]"
70,0x004c,VMAC,V7,V2,V0,"[8, 16, 24, 16]"
71,0x004c,VMAC,V7,V2,V0,"[8, 16, 24, 32]"
72,0x0050,VLOAD,V2,a1,-,"[1, 1, 0, 0]"
74,0x0054,VMAC,V7,V2,V1,"[10, 19, 24, 32]"
75,0x0054,VMAC,V7,V2,V1,"[12, 22, 24, 32]"
76,0x0058,VLOAD,V2,a1,-,"[0, 1, 1, 0]"
78,0x005c,VMAC,V7,V2,V1,"[12, 25, 28, 32]"
79,0x005c,VMAC,V7,V2,V1,"[12, 28, 32, 32]"
80,0x0060,VLOAD,V2,a1,-,"[0, 0, 1, 1]"
82,0x0064,VMAC,V7,V2,V1,"[12, 28, 36, 37]"
83,0x0064,VMAC,V7,V2,V1,"[12, 28, 40, 42]"
84,0x0068,VLOAD,V2,a1,-,"[1, 0, 0, 1]"
86,0x006c,VMAC,V7,V2,V1,"[14, 28, 40, 47]"
87,0x006c,VMAC,V7,V2,V1,"[16, 28, 40, 52]"
88,0x0070,VRELU,V0,t2,-,"[16, 28, 40, 52]"
89,0x0074,ADDI,a2,a2,-,"8992"
90,0x0078,ADDI,t0,t0,-,"1"
91,0x007c,BNE,-,t0,x0,"-"
92,0x0080,VSTORE,-,a3,V0,"stored"
94,0x0028,VLOAD,V1,a2,-,"[3, 4, 5, 6]"
95,0x002c,VCLR,V7,x0,-,"[0, 0, 0, 0]"
96,0x0030,VLOAD,V2,a0,-,"[1, 0, 0, 0]"
98,0x0034,VMAC,V7,V2,V0,"[16, 0, 0, 0]"
99,0x0034,VMAC,V7,V2,V0,"[32, 0, 0, 0]"
100,0x0038,VLOAD,V2,a0,-,"[0, 1, 0, 0]"
102,0x003c,VMAC,V7,V2,V0,"[32, 28, 0, 0]"
103,0x003c,VMAC,V7,V2,V0,"[32, 56, 0, 0]"
104,0x0040,VLOAD,V2,a0,-,"[0, 0, 1, 0]"
106,0x0044,VMAC,V7,V2,V0,"[32, 56, 40, 0]"
107,0x0044,VMAC,V7,V2,V0,"[32, 56, 80, 0]"
108,0x0048,VLOAD,V2,a0,-,"[0, 0, 0, 1]"
110,0x004c,VMAC,V7,V2,V0,"[32, 56, 80, 52]"
111,0x004c,VMAC,V7,V2,V0,"[32, 56, 80, 104]"
112,0x0050,VLOAD,V2,a1,-,"[1, 1, 0, 0]"
114,0x0054,VMAC,V7,V2,V1,"[35, 60, 80, 104]"
115,0x0054,VMAC,V7,V2,V1,"[38, 64, 80, 104]"
116,0x0058,VLOAD,V2,a1,-,"[0, 1, 1, 0]"
118,0x005c,VMAC,V7,V2,V1,"[38, 68, 85, 104]"
119,0x005c,VMAC,V7,V2,V1,"[38, 72, 90, 104]"
120,0x0060,VLOAD,V2,a1,-,"[0, 0, 1, 1]"
122,0x0064,VMAC,V7,V2,V1,"[38, 72, 95, 110]"
123,0x0064,VMAC,V7,V2,V1,"[38, 72, 100, 116]"
124,0x0068,VLOAD,V2,a1,-,"[1, 0, 0, 1]"
126,0x006c,VMAC,V7,V2,V1,"[41, 72, 100, 122]"
127,0x006c,VMAC,V7,V2,V1,"[44, 72, 100, 128]"
128,0x0070,VRELU,V0,t2,-,"[44, 72, 100, 128]"
129,0x0074,ADDI,a2,a2,-,"9008"
130,0x0078,ADDI,t0,t0,-,"0"
131,0x007c,BNE,-,t0,x0,"-"
132,0x0080,VSTORE,-,a3,V0,"stored"
133,0x0084,VREDMAX,s4,V0,-,"128"
