cycle,pc,instruction,rd,rs1,rs2,result
4,0x0000,LUI,a0,x0,-,"8192"
5,0x0004,ADDI,a0,a0,-,"8448"
6,0x0008,LUI,a1,x0,-,"8192"
7,0x000c,ADDI,a1,a1,-,"8704"
8,0x0010,LUI,a2,x0,-,"8192"
9,0x0014,ADDI,a2,a2,-,"8960"
10,0x0018,LUI,a3,x0,-,"8192"
11,0x001c,ADDI,a3,a3,-,"9216"
12,0x0020,ADDI,t0,x0,-,"3"
13,0x0024,VCLR,V0,x0,-,"[0, 0, 0, 0]"
14,0x0028,VLOAD,V1,a2,-,"[1, 2, 3, 4]"
15,0x002c,VCLR,V7,x0,-,"[0, 0, 0, 0]"
16,0x0030,VLOAD,V2,a0,-,"[1, 0, 0, 0]"
18,0x0034,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
19,0x0034,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
20,0x0038,VLOAD,V2,a0,-,"[0, 1, 0, 0]"
22,0x003c,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
23,0x003c,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
24,0x0040,VLOAD,V2,a0,-,"[0, 0, 1, 0]"
26,0x0044,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
27,0x0044,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
28,0x0048,VLOAD,V2,a0,-,"[0, 0, 0, 1]"
30,0x004c,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
31,0x004c,VMAC,V7,V2,V0,"[0, 0, 0, 0]"
32,0x0050,VLOAD,V2,a1,-,"[1, 1, 0, 0]"
34,0x0054,VMAC,V7,V2,V1,"[1, 2, 0, 0]"
35,0x0054,VMAC,V7,V2,V1,"[2, 4, 0, 0]"
36,0x0058,VLOAD,V2,a1,-,"[0, 1, 1, 0]"
38,0x005c,VMAC,V7,V2,V1,"[2, 6, 3, 0]"
39,0x005c,VMAC,V7,V2,V1,"[2, 8, 6, 0]"
40,0x0060,VLOAD,V2,a1,-,"[0, 0, 1, 1]"
42,0x0064,VMAC,V7,V2,V1,"[2, 8, 9, 4]"
