cycle,pc,instruction,rd,rs1,rs2,result
1,0x0000,ADDI,a0,x0,-,"0"
2,0x0004,ADDI,a1,x0,-,"256"
3,0x0008,ADDI,a2,x0,-,"512"
4,0x000c,ADDI,a3,x0,-,"768"
5,0x0010,VLOAD,V0,a1,-,"[10, 20, 30, 40]"
6,0x0014,VLOAD,V6,a2,-,"[1, 2, 3, 4]"
7,0x0018,VLOAD,V1,a0,-,"[1299, 268436883, 536872467, 805308051]"
8,0x001c,VMAC,V6,V1,V0,"[12991, 1073770366, -1073695171, -2147416324]"
9,0x0020,VLOAD,V1,a0,-,"[389239, 422775, 356599, 45943]"
10,0x0024,VMAC,V6,V1,V0,"[3905381, 1082225866, -1062997201, -2145578604]"
11,0x0028,VLOAD,V1,a0,-,"[17133815, 45943, 33911031, 45943]"
12,0x002c,VMAC,V6,V1,V0,"[175243531, 1083144726, -45666271, -2143740884]"
13,0x0030,VLOAD,V1,a0,-,"[50688247, 45943, 213879, 1080488055]"
14,0x0034,VMAC,V6,V1,V0,"[682126001, 1084063586, -39249901, -1873891644]"
15,0x0038,VRELU,V6,t1,-,"[682126001, 1084063586, 0, 0]"
16,0x003c,VSTORE,-,a3,V6,"stored"
17,0x0040,VREDMAX,s4,V6,-,"1084063586"
18,0x0044,VARGMAX,s5,V6,-,"1"
19,0x0044,HALT,-,x0,-,"-"
